2016-07-24 17:48:15.014838|85.138.189.216|3.4.4|Windows|urubu
2016-07-24 17:53:09.366674|85.138.189.216|3.4.4|Windows|
2016-07-24 18:12:35.152354|85.138.189.216|3.4.4|Windows|
2016-07-24 20:43:52.254534|85.138.189.216|3.4.4|Windows|
2016-07-24 20:44:51.502923|85.138.189.216|3.4.4|Windows|
2016-07-24 20:52:40.228733|85.138.189.216|3.4.4|Windows|
2016-07-24 20:53:26.839398|85.138.189.216|3.4.4|Windows|
2016-07-24 22:16:06.229059|85.138.189.216|3.4.4|Windows|
2016-07-24 22:19:17.530001|85.138.189.216|3.4.4|Windows|
2016-07-25 12:05:11.847010|131.228.182.251|3.4.4|Windows|
2016-07-27 22:37:19.220272|85.138.189.216|3.4.4|Windows|
2016-07-27 22:39:44.289088|85.138.189.216|3.4.4|Windows|
2016-07-27 22:50:38.427495|85.138.189.216|3.4.4|Windows|
2016-07-31 16:48:59.643383|93.108.113.235|3.4.4|Windows|
